129497.0,129871.0,129804.0,133716.0,128558.0,130996.0,128943.0,129912.0,129916.0,128819.0
127430.0,130575.0,128660.0,134660.0,128799.0,129236.0,129160.0,129234.0,129547.0,128937.0
128614.0,128787.0,127853.0,134190.0,129883.0,128228.0,129941.0,129060.0,130625.0,127655.0
127465.0,130560.0,128680.0,134140.0,128460.0,129427.0,128415.0,128555.0,128712.0,128523.0
129995.0,128727.0,128792.0,134455.0,127835.0,129289.0,128158.0,129173.0,128656.0,127905.0
128134.0,127901.0,129588.0,134700.0,128742.0,128850.0,127971.0,128475.0,128617.0,128882.0
129400.0,128470.0,128512.0,133186.0,130543.0,127821.0,127951.0,128717.0,130589.0,129584.0
128616.0,128851.0,129736.0,134010.0,128251.0,130206.0,130643.0,129503.0,128794.0,130014.0
127094.0,129580.0,128750.0,135640.0,129336.0,130560.0,130980.0,129145.0,129991.0,129276.0
128622.0,129557.0,129338.0,133086.0,129067.0,129734.0,130494.0,130124.0,129226.0,128466.0
130750.0,129239.0,130036.0,131707.0,129144.0,129708.0,128720.0,130105.0,128947.0,129523.0
130347.0,129018.0,129167.0,131716.0,128397.0,129645.0,129043.0,128127.0,128693.0,129192.0
128714.0,128010.0,128992.0,130910.0,129066.0,130425.0,128311.0,128125.0,128172.0,130274.0
129902.0,127703.0,127868.0,128845.0,129166.0,127536.0,129124.0,128474.0,129002.0,128290.0
128004.0,128782.0,130208.0,128956.0,128873.0,130184.0,128599.0,130172.0,128991.0,129470.0
130286.0,128106.0,128556.0,127731.0,129235.0,130658.0,127459.0,129345.0,131336.0,128784.0
129822.0,127687.0,131434.0,129115.0,129163.0,130143.0,128215.0,128595.0,128610.0,129121.0
129219.0,131090.0,130419.0,130649.0,130707.0,129993.0,128737.0,130227.0,129311.0,129231.0
128842.0,129877.0,130758.0,128739.0,129002.0,130030.0,129181.0,130483.0,129162.0,129235.0
128884.0,130091.0,132900.0,129083.0,128938.0,129046.0,129787.0,129885.0,129004.0,128688.0
