438.0,456.0,456.0,491.0,691.0,478.0,472.0,459.0,459.0,695.0
395.0,446.0,481.0,485.0,422.0,484.0,444.0,453.0,472.0,412.0
421.0,405.0,469.0,454.0,430.0,443.0,479.0,689.0,455.0,464.0
396.0,412.0,452.0,466.0,457.0,456.0,479.0,722.0,471.0,457.0
424.0,559.0,446.0,485.0,509.0,496.0,455.0,411.0,484.0,459.0
414.0,433.0,473.0,518.0,512.0,781.0,505.0,450.0,468.0,502.0
419.0,434.0,502.0,479.0,474.0,444.0,496.0,470.0,516.0,491.0
427.0,433.0,505.0,492.0,481.0,483.0,481.0,494.0,491.0,470.0
440.0,426.0,518.0,753.0,500.0,479.0,486.0,510.0,492.0,515.0
420.0,435.0,490.0,465.0,535.0,514.0,501.0,502.0,492.0,499.0
436.0,430.0,501.0,522.0,546.0,530.0,506.0,503.0,505.0,521.0
460.0,429.0,515.0,517.0,525.0,523.0,541.0,510.0,525.0,520.0
448.0,432.0,534.0,522.0,514.0,833.0,567.0,518.0,508.0,546.0
696.0,449.0,528.0,543.0,529.0,471.0,528.0,516.0,558.0,724.0
440.0,452.0,703.0,555.0,548.0,522.0,539.0,539.0,540.0,502.0
457.0,485.0,503.0,760.0,525.0,520.0,520.0,552.0,630.0,543.0
469.0,474.0,571.0,507.0,581.0,547.0,538.0,540.0,526.0,580.0
484.0,468.0,557.0,549.0,587.0,624.0,582.0,562.0,552.0,575.0
493.0,522.0,585.0,572.0,569.0,552.0,693.0,558.0,557.0,571.0
510.0,583.0,587.0,558.0,605.0,577.0,552.0,580.0,615.0,570.0
