963,556,619,485,421,367,367,367,368,366,365
513,634,464,452,388,406,385,372,375,384,386
486,438,432,404,454,383,412,416,397,381,418
587,473,417,405,441,405,403,428,396,395,396
728,718,684,775,424,411,425,410,410,416,412
694,639,438,438,437,454,436,447,435,470,452
514,638,550,676,597,483,513,537,501,482,513
783,704,576,609,578,632,573,576,576,588,585
809,1131,773,780,891,808,792,791,785,784,810
1377,1367,1253,1194,1194,1204,1232,1214,1192,1204,1217
3197,2987,2964,3080,2992,2970,3021,3004,2990,3002,2960
5820,5431,5510,5467,5370,5691,5708,5660,5436,5345,5764
10317,9792,9690,9894,9694,9765,9717,9735,9722,9740,9702
20636,20304,20260,19963,20251,20123,19784,20129,20250,20122,20183
42959,42600,42668,42406,42311,42319,42351,42684,42691,42368,42318
91744,89925,90070,89681,90331,90068,89969,90632,90150,90897,89890
191026,189760,189743,188977,189821,188133,187630,189306,188285,188010,189011
402126,406737,408680,401908,404077,405739,409189,408385,405482,412322,405234
