590,1199,886,890,404,406,428,401,448,401,412
428,807,448,442,416,419,412,407,413,413,410
437,727,429,450,451,417,425,413,417,411,412
457,859,441,428,471,453,435,464,440,442,448
479,469,461,445,464,445,439,459,506,464,442
671,496,486,462,471,469,519,474,701,477,476
615,547,550,530,530,526,520,541,522,516,517
660,611,1058,649,649,603,908,621,657,600,627
796,786,786,778,791,803,816,1158,935,794,1001
1212,1165,1118,1140,1115,1141,1158,1127,1313,1151,1146
1899,1860,1868,1877,1879,1917,1856,2163,1925,1880,1875
3412,3598,3491,3418,3394,3409,3413,3378,3443,3412,3520
6711,6767,6782,6857,6757,6804,6834,6722,6960,6990,7077
13699,13859,13761,13949,13822,13813,13679,13831,13919,13892,13783
27983,28422,27655,27804,28429,27543,28002,28130,27828,27750,27873
57293,57418,57276,57395,57373,57395,57268,57399,57379,57491,57335
123532,122678,127493,127449,122954,122459,122786,123141,123685,122414,126382
263686,261820,263204,262760,262506,260541,264945,263414,263686,264430,262379
543142,547453,548101,545316,548019,546101,549726,543886,544640,544037,549067
