431,1233,655,656,503,384,394,383,390,392,385
362,415,403,463,348,366,388,355,350,366,347
349,360,431,457,369,425,361,345,363,363,347
354,384,404,374,362,349,350,366,369,347,346
355,369,377,376,377,372,362,362,350,557,360
373,370,458,385,356,361,371,357,356,357,369
400,377,421,417,380,373,368,367,399,366,364
439,509,441,388,401,455,386,416,375,387,418
457,461,411,469,426,395,448,405,444,421,466
438,559,440,440,482,434,511,438,450,440,465
507,517,543,535,617,510,560,551,505,499,521
659,662,727,782,663,654,664,694,665,649,691
978,1037,993,1032,1028,1003,998,1021,971,1024,966
1684,1700,1700,1691,1713,1703,1700,1725,1702,1714,1683
3158,3146,3242,3175,3140,3170,3211,3134,3168,3166,3175
6436,6335,6403,6396,6611,6400,6398,6361,6374,6448,6374
12777,12774,12776,12847,12746,12738,12949,12817,12780,12746,12766
26753,26016,26640,26419,26398,26561,26375,26539,26506,26274,26588
54756,53667,55134,53808,54246,54131,53217,53889,53766,54114,53968
111953,110790,111323,110485,110825,111987,111365,112898,111214,113072,111835
231186,232826,234985,233750,232404,233278,232014,233538,232137,233202,232868
